Tweet Text,Clean Tweet Text,Label,Tweet ID,Type,Author Name,Author Username,Creation Time,Reply Count,Retweet Count,Quote Count,Like Count,View Count,Bookmark Count,Language,Possibly Sensitive,Source,Hashtags,Tweet URL,Media Type,Media URLs,External URLs
"I want to acknowledge what is going on 1-2 hours away. Helene has devastated portions of East Tennessee &amp; Western North Carolina, and there are still search and rescue operations going on. Florida and Georgia are impacted too. Recovery is going to be long and difficult. Very sad.",i want to acknowledge what is going on 12 hours away helene has devastated portions of east tennessee amp western north carolina and there are still search and rescue operations going on florida and georgia are impacted too recovery is going to be long and difficult very sad,0,1840177110393970749,Tweet,Lisa_Knox⁷ ❤️ ʜᴀᴘᴘʏ ◡̈ 💚Nov 15💙,Lisa_Knox_OT7,"9/28/2024, 4:49:46 PM",1,2,0,11,491,0,en,No,helene,,https://x.com/Lisa_Knox_OT7/status/1840177110393970749,,,
"The aftermath of Helene is another reminder that when this country experiences disasters, the last person we want stewarding our resources is Donald Trump.

Please vote wisely.",the aftermath of helene is another reminder that when this country experiences disasters the last person we want stewarding our resources is donald trump please vote wisely,0,1840026098580459930,Tweet,John Pavlovitz,johnpavlovitz,"9/28/2024, 6:49:42 AM",1277,5050,108,21194,327789,76,en,No,helene,,https://x.com/johnpavlovitz/status/1840026098580459930,,,
"There’s a chance that I won’t be very active the next few days/ weeks. i was effected my hurricane helene and will most likely be without power for up to a month. if you were effected by hurricane helene, i hope y’all recover soon. 🫶🏼",there’s a chance that i won’t be very active the next few days weeks i was effected my hurricane helene and will most likely be without power for up to a month if you were effected by hurricane helene i hope y’all recover soon 🫶🏼,1,1840162153095147596,Tweet,Lisa 👻,AddictivePriest,"9/28/2024, 3:50:20 PM",10,1,0,33,648,1,en,No,helene,,https://x.com/AddictivePriest/status/1840162153095147596,,,
During hurricane season it renders me a bit catatonic cuz I've seen so much shit as a disaster worker but seriously Hurricane Helene needs to be talked about more!,during hurricane season it renders me a bit catatonic cuz ive seen so much shit as a disaster worker but seriously hurricane helene needs to be talked about more,0,1840131063001014424,Tweet,Danny Mashèt,DanieleCreole,"9/28/2024, 1:46:48 PM",0,3,1,16,601,0,en,No,helene,,https://x.com/DanieleCreole/status/1840131063001014424,,,
Helene is such a nice name for such an ugly storm.,helene is such a nice name for such an ugly storm,0,1840137723211899304,Tweet,CLA,ConservativeLA,"9/28/2024, 2:13:15 PM",0,0,0,1,105,1,en,No,helene,,https://x.com/ConservativeLA/status/1840137723211899304,,,
"Prayer Request: 

From brother Will @2Submitted5344 

He is in close contact with many impacted by the mass destruction from Helene. There are many he loves who can't get back to their homes and family at this very hour, because bridges all being shut down. Please 🙏🏼 for them",prayer request from brother will 2submitted5344 he is in close contact with many impacted by the mass destruction from helene there are many he loves who cant get back to their homes and family at this very hour because bridges all being shut down please 🙏🏼 for them,0,1840176626849722571,Tweet,Mike C (Let me 🙏 for you),clanceman65,"9/28/2024, 4:47:51 PM",53,29,1,92,1186,0,en,No,helene,,https://x.com/clanceman65/status/1840176626849722571,,,
#Helene is the Hurricane Harvey of Appalachia. It’s stunning to see the inland flooding.,helene is the hurricane harvey of appalachia it’s stunning to see the inland flooding,0,1840139357111627781,Tweet,Blake Mathews,BlakeMathews08,"9/28/2024, 2:19:45 PM",2,5,0,20,3924,1,en,No,helene,#Helene,https://x.com/BlakeMathews08/status/1840139357111627781,,,
Devastating images out #Ashville &amp; #WNC - heartbreaking for this community that has been so welcoming. Please share any local organizations &amp; mutual aid for donations ♥️ #Helene #HurricaneHelene,devastating images out ashville amp wnc heartbreaking for this community that has been so welcoming please share any local organizations amp mutual aid for donations ♥️ helene hurricanehelene,0,1840177844791717972,Tweet,Elizabeth McLaughlin,ElizabethMcL,"9/28/2024, 4:52:41 PM",0,2,0,3,1479,0,en,No,helene,"#Ashville, #WNC, #Helene, #HurricaneHelene",https://x.com/ElizabethMcL/status/1840177844791717972,,,
"gute nacht ihr prinzen &amp; prinzessinnen von maine 
ihr könige &amp; königinnen von neuengland.    
 
fergus ist 8 monate alt. brigitte bardot 90.
corona, sinusitis, pneumonie &amp; ein abend auf dem klo
... die woche war nicht langweilig.

all we have is now!  

john irving &amp; ich",gute nacht ihr prinzen amp prinzessinnen von maine ihr könige amp königinnen von neuengland fergus ist 8 monate alt brigitte bardot 90 corona sinusitis pneumonie amp ein abend auf dem klo die woche war nicht langweilig all we have is now john irving amp ich,0,1840128468081881133,Tweet,Hélène Lindgens,sonmuda,"9/28/2024, 1:36:29 PM",8,1,0,81,952,0,de,No,helene,,https://x.com/sonmuda/status/1840128468081881133,,,
helene been causing rain for 2 days straight in OHIO. like that’s blowing my mind . nature is so powerful,helene been causing rain for 2 days straight in ohio like that’s blowing my mind nature is so powerful,0,1840172383358922846,Tweet,☆ laney ☆,laneybabyart,"9/28/2024, 4:30:59 PM",0,1,0,10,493,0,en,No,helene,,https://x.com/laneybabyart/status/1840172383358922846,,,
Who does Hurricane Helene thinking she is? Destroying the main road that gets me to Nashville and Sam.,who does hurricane helene thinking she is destroying the main road that gets me to nashville and sam,0,1840129797394985257,Tweet,Faithful_Hill94 💃🌹,Faithful_Hill94,"9/28/2024, 1:41:46 PM",2,1,0,2,233,0,en,No,helene,,https://x.com/Faithful_Hill94/status/1840129797394985257,,,
my town is devastated after hurricane helene. a friend almost died. terrifying,my town is devastated after hurricane helene a friend almost died terrifying,1,1840152398725001248,Tweet,Penelope ❥ is losing it !!,deer_teeth_,"9/28/2024, 3:11:34 PM",3,0,0,5,172,0,en,No,helene,,https://x.com/deer_teeth_/status/1840152398725001248,,,
"Once Hurricane Helene is finished leaving its trail of destruction, it's critical that we forget it ever happened and do absolutely nothing differently.",once hurricane helene is finished leaving its trail of destruction its critical that we forget it ever happened and do absolutely nothing differently,0,1840154641541017796,Tweet,Branko Marcetic,BMarchetich,"9/28/2024, 3:20:29 PM",9,28,1,192,3731,1,en,No,helene,,https://x.com/BMarchetich/status/1840154641541017796,,,
"SC | LEESVILLE | FD LODD | - | FF LANDON BODIE PASSED AWAY YEST, DUE TO A TREE FALLING ON HIS TRUCK DURING HURRICANE HELENE|UEA02 | NJ34",sc leesville fd lodd ff landon bodie passed away yest due to a tree falling on his truck during hurricane heleneuea02 nj34,0,1840145477515571213,Tweet,USEmergAlerts Incident Notification Service,USEmergAlerts,"9/28/2024, 2:44:04 PM",1,1,1,6,308,0,en,No,helene,,https://x.com/USEmergAlerts/status/1840145477515571213,,,
"SC | LEESVILLE | FD LODD | - | CHIEF SATCHER PASSED AWAY YEST, DUE TO A TREE FALLING ON HIS TRUCK DURING HURRICANE HELENE|UEA02 | NJ34",sc leesville fd lodd chief satcher passed away yest due to a tree falling on his truck during hurricane heleneuea02 nj34,0,1840145419982062059,Tweet,USEmergAlerts Incident Notification Service,USEmergAlerts,"9/28/2024, 2:43:51 PM",0,1,0,5,219,0,en,No,helene,,https://x.com/USEmergAlerts/status/1840145419982062059,,,
Please keep my family in your prayers. It’s been 24 hours since we have been able to make contact with sister after Helene. I’m worried sick,please keep my family in your prayers it’s been 24 hours since we have been able to make contact with sister after helene i’m worried sick,1,1840136888868352180,Tweet,🅓🅡🅔🅐 🌙⸆⸉,repcardigan_,"9/28/2024, 2:09:57 PM",3,0,1,8,632,0,en,No,helene,,https://x.com/repcardigan_/status/1840136888868352180,,,
"NOTE: Due to the ongoing impacts of Hurricane Helene, we are postponing this week's episode of the Rattlecast. Eric Kocher will appear as a guest in December.

Our next episode will be October 6th, featuring Philip Metres. Submissions for the Prompt Poem of the Month, including",note due to the ongoing impacts of hurricane helene we are postponing this weeks episode of the rattlecast eric kocher will appear as a guest in december our next episode will be october 6th featuring philip metres submissions for the prompt poem of the month including,0,1840136114327150630,Tweet,Rattle,RattlePoetry,"9/28/2024, 2:06:52 PM",1,1,0,10,651,0,en,No,helene,,https://x.com/RattlePoetry/status/1840136114327150630,,,
"Hey all! Western NC was decimated by #Helene. Rivers flooded towns, wiped out homes, and killed many. There is no cell service, electricity, or water. There is no leaving as all roads are flooded or destroyed. People are trapped, can’t call for help, and don’t know what to do.",hey all western nc was decimated by helene rivers flooded towns wiped out homes and killed many there is no cell service electricity or water there is no leaving as all roads are flooded or destroyed people are trapped can’t call for help and don’t know what to do,0,1840154160861208810,Tweet,Alicia Ventura,AliciaSVentura,"9/28/2024, 3:18:35 PM",2,1,0,2,470,0,en,No,helene,#Helene,https://x.com/AliciaSVentura/status/1840154160861208810,,,
"Did you know that when there's a hurricane like Helene in the southeast, every car insurance company in America stops offering full coverage on vehicles during and immediately after the event, even if you easily prove you and your vehicle are a thousand miles away",did you know that when theres a hurricane like helene in the southeast every car insurance company in america stops offering full coverage on vehicles during and immediately after the event even if you easily prove you and your vehicle are a thousand miles away,0,1840140228344066496,Tweet,Concernicus Jones,deusexmoniker,"9/28/2024, 2:23:13 PM",3,14,0,61,1446,4,en,No,helene,,https://x.com/deusexmoniker/status/1840140228344066496,,,
"Straight up bawling as I watch Appalachia flood. This isn’t ending. Over 1,000 miles from where #Helene made landfall, the floods are just unbearable. Everything smells like dampness and mold. Portsmouth, OH wasn’t as lucky as us. They’re under water.",straight up bawling as i watch appalachia flood this isn’t ending over 1000 miles from where helene made landfall the floods are just unbearable everything smells like dampness and mold portsmouth oh wasn’t as lucky as us they’re under water,0,1840168654375149648,Tweet,Lorenna “bipolarlioness” Cleary 🪷,Brodie_Dog,"9/28/2024, 4:16:10 PM",1,14,0,25,1277,0,en,No,helene,#Helene,https://x.com/Brodie_Dog/status/1840168654375149648,,,
"It’s heartbreaking to see the damage that has taken place from the aftermath of Hurricane Helene. Please know that we are praying for you if you or a family member has been impacted by this storm. This hit close to home, and we are praying and interceding for all of those we know",it’s heartbreaking to see the damage that has taken place from the aftermath of hurricane helene please know that we are praying for you if you or a family member has been impacted by this storm this hit close to home and we are praying and interceding for all of those we know,0,1840138973114413177,Tweet,Todd Coconato,ToddCoconato,"9/28/2024, 2:18:13 PM",3,1,0,2,147,0,en,No,helene,,https://x.com/ToddCoconato/status/1840138973114413177,,,
Until it looks like Hurricane Helene never occurred I don’t want to see another MF cent go to a foreign country!,until it looks like hurricane helene never occurred i don’t want to see another mf cent go to a foreign country,0,1840179288475082845,Tweet,🔥🇺🇸 KC 🇺🇸🔥,KCPayTreeIt,"9/28/2024, 4:58:25 PM",35,69,5,347,2940,0,en,No,helene,,https://x.com/KCPayTreeIt/status/1840179288475082845,,,
"🚨🚨🚨🚨🚨🚨Breaking Officals say 60 people in Buncombe County NC are missing and to expect a disaster of biblical proportions. There is no cell, internet, electricity nor running water. 
Please Pray for the people who are affected by Helene. 
Where is the FEMA?",🚨🚨🚨🚨🚨🚨breaking officals say 60 people in buncombe county nc are missing and to expect a disaster of biblical proportions there is no cell internet electricity nor running water please pray for the people who are affected by helene where is the fema,0,1840161353312727328,Tweet,Leigh10021,tarheel_texas,"9/28/2024, 3:47:09 PM",6,10,0,24,500,0,en,No,helene,,https://x.com/tarheel_texas/status/1840161353312727328,,,
"The impacts of Hurricane Helene have been devastating in my home state of North Carolina and across the Southeast.

Please join me in praying for those affected by this catastrophic storm and for those helping with recovery and rescue efforts.",the impacts of hurricane helene have been devastating in my home state of north carolina and across the southeast please join me in praying for those affected by this catastrophic storm and for those helping with recovery and rescue efforts,0,1840145258107072987,Tweet,Michael Whatley,ChairmanWhatley,"9/28/2024, 2:43:12 PM",39,60,6,310,8035,1,en,No,helene,,https://x.com/ChairmanWhatley/status/1840145258107072987,,,
"President Biden and I continue to work with local leaders in the southeast to provide support as they face the impacts of Hurricane Helene and begin to recover. More than 1,500 federal personnel have been deployed, including power restoration and search and rescue teams.

Listen",president biden and i continue to work with local leaders in the southeast to provide support as they face the impacts of hurricane helene and begin to recover more than 1500 federal personnel have been deployed including power restoration and search and rescue teams listen,0,1840057416404337098,Tweet,Vice President Kamala Harris,VP,"9/28/2024, 8:54:09 AM",3282,2553,266,9163,592297,98,en,No,helene,,https://x.com/VP/status/1840057416404337098,,,
Damn 40hrs later my power finally back on 😩 Helene can kiss my ass,damn 40hrs later my power finally back on 😩 helene can kiss my ass,1,1840167164533162086,Tweet,Tampaa✨,Lesshhhhhhh,"9/28/2024, 4:10:15 PM",2,1,0,4,588,0,en,No,helene,,https://x.com/Lesshhhhhhh/status/1840167164533162086,,,
"#ACTUALNEWS: FEMA Administrator Deanne Criswell is in Florida assessing damage from Hurricane Helene, as over 2,300 federal personnel and voluntary agencies assist across six states. The Biden-Harris Administration has approved emergency declarations in several states to expedite",actualnews fema administrator deanne criswell is in florida assessing damage from hurricane helene as over 2300 federal personnel and voluntary agencies assist across six states the bidenharris administration has approved emergency declarations in several states to expedite,0,1840153522349678975,Tweet,Olga Nesterova,onestpress,"9/28/2024, 3:16:02 PM",3,84,1,189,2849,2,en,No,helene,#ACTUALNEWS,https://x.com/onestpress/status/1840153522349678975,,,
"I was supposed to visit Winston-Salem State University yesterday and it was a surprised Hurricane Helene messed it up and it got cancelled!😭😭😭😭😭😭😭

But I’m glad copies of #BloodattheRoot wanted but damn! Hope to be back!",i was supposed to visit winstonsalem state university yesterday and it was a surprised hurricane helene messed it up and it got cancelled😭😭😭😭😭😭😭 but i’m glad copies of bloodattheroot wanted but damn hope to be back,0,1840132425935925683,Tweet,LaDarrion Williams,ItsLaDarrion,"9/28/2024, 1:52:13 PM",0,3,0,15,882,0,en,No,helene,#BloodattheRoot,https://x.com/ItsLaDarrion/status/1840132425935925683,,,
"Outstanding reporting on #Helene by the @foxweather crew @IanOliverWX @BobVanDillen @kiyanalewiswx @RobertRayWx 

I can’t imagine how difficult it must be to witness, first hand, the level of destruction that you all are experiencing",outstanding reporting on helene by the foxweather crew ianoliverwx bobvandillen kiyanalewiswx robertraywx i can’t imagine how difficult it must be to witness first hand the level of destruction that you all are experiencing,0,1840161418961682656,Tweet,Sheryle,Sheryle1122,"9/28/2024, 3:47:25 PM",1,0,0,4,180,0,en,No,helene,#Helene,https://x.com/Sheryle1122/status/1840161418961682656,,,
"I spent the day checking in on family on parts of Georgia devastated by Helene. 

The power is completely out in a lot of smaller places, and power companies are giving locals weeks for relief.

Please continue to pray for many of these places.",i spent the day checking in on family on parts of georgia devastated by helene the power is completely out in a lot of smaller places and power companies are giving locals weeks for relief please continue to pray for many of these places,0,1840152207255035988,Tweet,Nicole Pinkston 🇺🇸 Iconic Marriage Coach,MRSpinkston85,"9/28/2024, 3:10:49 PM",0,0,0,2,134,0,en,No,helene,,https://x.com/MRSpinkston85/status/1840152207255035988,,,
"#ACTUALNEWS: Earlier this evening, FEMA Administrator Deanne Criswell and Homeland Security Advisor Liz Sherwood-Randall briefed President Biden on the impacts of Hurricane Helene on multiple Southeastern states, including Florida, Georgia, North Carolina, South Carolina,",actualnews earlier this evening fema administrator deanne criswell and homeland security advisor liz sherwoodrandall briefed president biden on the impacts of hurricane helene on multiple southeastern states including florida georgia north carolina south carolina,0,1840160008631198211,Tweet,Olga Nesterova,onestpress,"9/28/2024, 3:41:49 PM",0,65,1,127,2363,2,en,No,helene,#ACTUALNEWS,https://x.com/onestpress/status/1840160008631198211,,,
"Policies like this are a big reason many people don't evacuate when warnings are issued...

""Law enforcement escorted people out of the barrier islands due to dangerous conditions following Hurricane Helene.

Deputies will patrol the barrier islands from 7 p.m. to 7 a.m. to watch",policies like this are a big reason many people dont evacuate when warnings are issued law enforcement escorted people out of the barrier islands due to dangerous conditions following hurricane helene deputies will patrol the barrier islands from 7 pm to 7 am to watch,0,1840139072779518349,Tweet,Mrgunsngear,Mrgunsngear,"9/28/2024, 2:18:37 PM",8,5,0,179,16767,1,en,No,helene,,https://x.com/Mrgunsngear/status/1840139072779518349,,,
"Saying a prayer for all of the communities and people impacted by Hurricane Helene, including so many gorgeous towns in Western North Carolina. I hope the water recedes soon and these communities can rebuild.",saying a prayer for all of the communities and people impacted by hurricane helene including so many gorgeous towns in western north carolina i hope the water recedes soon and these communities can rebuild,0,1840175246294335559,Tweet,Christina Reynolds,creynoldsnc,"9/28/2024, 4:42:22 PM",0,0,0,11,1287,0,en,No,helene,,https://x.com/creynoldsnc/status/1840175246294335559,,,
"As someone who grew up in a small town of Mullens West Virginia that got ripped away when floods happened in 2001, I feel sadness for these communities being affected by Hurricane Helene because not all of them will be able to make a recovery. &amp; I grew up in a place that",as someone who grew up in a small town of mullens west virginia that got ripped away when floods happened in 2001 i feel sadness for these communities being affected by hurricane helene because not all of them will be able to make a recovery amp i grew up in a place that,0,1840164361811439811,Tweet,nicholas liddle,NLiddle16,"9/28/2024, 3:59:07 PM",0,5,0,6,821,0,en,No,helene,,https://x.com/NLiddle16/status/1840164361811439811,,,
Seeing so many people in the wake of Helene posting requests for help and evacuation on social media is heartbreaking.,seeing so many people in the wake of helene posting requests for help and evacuation on social media is heartbreaking,0,1840133132999172520,Tweet,𝐫𝐞𝐏𝐫𝐨-𝐓𝐫𝐮𝐭𝐡,ProTruth4Life,"9/28/2024, 1:55:01 PM",1,2,0,15,178,0,en,No,helene,,https://x.com/ProTruth4Life/status/1840133132999172520,,,
"It's 2 a.m., and I'm still watching Hurricane Helene status. If you don't live here, don't comment. We have enough stress trying to make sure our family and animals are ok. Along with ourselves. 

We dont need your virtual signaling on what you would do. Mkay.",its 2 am and im still watching hurricane helene status if you dont live here dont comment we have enough stress trying to make sure our family and animals are ok along with ourselves we dont need your virtual signaling on what you would do mkay,0,1839187642358866399,Tweet,Sassafrass84,Sassafrass_84,"9/25/2024, 11:17:59 PM",2812,477,82,10542,314135,57,en,No,helene,,https://x.com/Sassafrass_84/status/1839187642358866399,,,
"FOR YOUR INFORMATION:
THE EYE OF HER ROYAL HIGHNESS HELENE IS IN KENTUCKY NOW.",for your information the eye of her royal highness helene is in kentucky now,0,1840122213745213795,Tweet,Ellsworth Green,GreenEllsworth,"9/28/2024, 1:11:38 PM",2,0,0,12,238,0,en,No,helene,,https://x.com/GreenEllsworth/status/1840122213745213795,,,
"Our venue for tonight’s show in Greenville, South Carolina has been forced to close due to the governor’s state of emergency issued in response to Hurricane Helene. We’re deeply disappointed, but there’s nothing we can do. Our apologies.

We’re going to do our best to reschedule",our venue for tonight’s show in greenville south carolina has been forced to close due to the governor’s state of emergency issued in response to hurricane helene we’re deeply disappointed but there’s nothing we can do our apologies we’re going to do our best to reschedule,0,1839297919742104021,Tweet,Tucker Carlson,TuckerCarlson,"9/26/2024, 6:36:11 AM",542,1241,27,10072,1002555,91,en,No,helene,,https://x.com/TuckerCarlson/status/1839297919742104021,,,
Has Biden or Harris offered help or even addressed the flooding caused by Helene? Or is it Maui all over again?,has biden or harris offered help or even addressed the flooding caused by helene or is it maui all over again,0,1840146576649658426,Tweet,Calvin,RealCalvin1,"9/28/2024, 2:48:26 PM",22,9,0,66,973,0,en,No,helene,,https://x.com/RealCalvin1/status/1840146576649658426,,,
Videos and images from across the Southeast and Latin America about Hurricane Helene are some brutal stuff. I hope people can recover and we find stable solutions in reducing climate change and the products of it.,videos and images from across the southeast and latin america about hurricane helene are some brutal stuff i hope people can recover and we find stable solutions in reducing climate change and the products of it,0,1840173864208265527,Tweet,Blank.,TheMSeries1,"9/28/2024, 4:36:52 PM",0,15,0,20,1263,1,en,No,helene,,https://x.com/TheMSeries1/status/1840173864208265527,,,
"Dozens dead, millions without power after Helene's march across southeastern US.Hurricane Helene caused dozens of deaths and billions of dollars of destruction across a wide swath of the southeastern U.S. as it raced through, and more than 3 million customers went into the",dozens dead millions without power after helenes march across southeastern ushurricane helene caused dozens of deaths and billions of dollars of destruction across a wide swath of the southeastern us as it raced through and more than 3 million customers went into the,0,1840149513756954933,Tweet,FOX Baltimore,FOXBaltimore,"9/28/2024, 3:00:07 PM",0,0,0,1,862,0,en,No,helene,,https://x.com/FOXBaltimore/status/1840149513756954933,,,
"Well shit. Hurricane helene just became a category 4. I worry for those in the coastal towns. Having flashbacks from Hurricane Ian. 

I will post videos when more is happening. Stay tuned and stay safe.",well shit hurricane helene just became a category 4 i worry for those in the coastal towns having flashbacks from hurricane ian i will post videos when more is happening stay tuned and stay safe,0,1839432340080091455,Tweet,Sassafrass84,Sassafrass_84,"9/26/2024, 3:30:19 PM",351,254,8,2739,38575,11,en,No,helene,,https://x.com/Sassafrass_84/status/1839432340080091455,,,
"Yolanda and I are praying for our great residents in Western North Carolina! 

Hurricane Helene is making its way into the area. Heavy rain and flooding is expected. Please stay inside, off the roads and be safe! 

Do NOT hesitate to seek help if you need it.",yolanda and i are praying for our great residents in western north carolina hurricane helene is making its way into the area heavy rain and flooding is expected please stay inside off the roads and be safe do not hesitate to seek help if you need it,0,1839406075344474462,Tweet,Mark Robinson,markrobinsonNC,"9/26/2024, 1:45:57 PM",246,764,21,3563,161910,16,en,No,helene,,https://x.com/markrobinsonNC/status/1839406075344474462,,,
My town looks like a war zone. With downed trees. Roofs collapsed. Debris everywhere. Hurricane Helene did quite the number on us.,my town looks like a war zone with downed trees roofs collapsed debris everywhere hurricane helene did quite the number on us,1,1840137147539411069,Tweet,Sassafrass84,Sassafrass_84,"9/28/2024, 2:10:58 PM",224,101,8,1206,28440,6,en,No,helene,,https://x.com/Sassafrass_84/status/1840137147539411069,,,
"At this moment, rest assured that Donald Trump is contemplating insurance fraud per hurricane Helene, even though it didn't impact Mar-a-Lago. He's done it before.",at this moment rest assured that donald trump is contemplating insurance fraud per hurricane helene even though it didnt impact maralago hes done it before,0,1840171367372861796,Tweet,Steafan Dubhuidhe (comrade/comrades),AnarchoTerran,"9/28/2024, 4:26:57 PM",2,2,0,17,244,1,en,No,helene,,https://x.com/AnarchoTerran/status/1840171367372861796,,,
"BREAKING NEWS—Mudslides, floods and power failures slowed rescues in North Carolina as Hurricane Helene's death toll rose above 50 in the United States.

Hundreds of roads were impassable in western North Carolina, the hardest hit part of the state, where one resident described",breaking news—mudslides floods and power failures slowed rescues in north carolina as hurricane helenes death toll rose above 50 in the united states hundreds of roads were impassable in western north carolina the hardest hit part of the state where one resident described,0,1840137462745837819,Tweet,Kelly Hyman,Kellyhyman1,"9/28/2024, 2:12:13 PM",3,0,0,4,643,0,en,No,helene,,https://x.com/Kellyhyman1/status/1840137462745837819,,,
I have read some tweets criticizing the response to the disaster areas of Hurricane Helene. I am in tears - sobbing - remembering Hurricane Katrina and our brave 1st responders who risked their own lives to help. The National Guard and MDOT employees worked,i have read some tweets criticizing the response to the disaster areas of hurricane helene i am in tears sobbing remembering hurricane katrina and our brave 1st responders who risked their own lives to help the national guard and mdot employees worked,0,1840165372437127595,Tweet,Cathy Coleman ☮️ 📚 🗳 ⚖️ 🔶🇺🇸,CathyJoeGPT,"9/28/2024, 4:03:08 PM",2,12,0,29,543,0,en,No,helene,,https://x.com/CathyJoeGPT/status/1840165372437127595,,,
"Hurricane Helene is a good reminder that we need a strong federal government to provide relief for Red States.

Project 2025 calls for the elimination of FEMA.

What dumb mfs.",hurricane helene is a good reminder that we need a strong federal government to provide relief for red states project 2025 calls for the elimination of fema what dumb mfs,0,1840140869581844641,Tweet,Captain Obvious™️,TheFungi669,"9/28/2024, 2:25:46 PM",13,233,3,510,3840,4,en,No,helene,,https://x.com/TheFungi669/status/1840140869581844641,,,
"Magas are twisting themselves into 9-dimensional pretzels trying to pretend that the US economy isn't booming, that the National Weather Service messed up the forecast track of Hurricane Helene, and that trump isn't an unhinged rage-potato ranting gibberish and attracting flies.",magas are twisting themselves into 9dimensional pretzels trying to pretend that the us economy isnt booming that the national weather service messed up the forecast track of hurricane helene and that trump isnt an unhinged ragepotato ranting gibberish and attracting flies,0,1840145326704939438,Tweet,BeaglesResist🇺🇲🇺🇲🌈@beaglesresist.bsky.social,BeaglesResist,"9/28/2024, 2:43:28 PM",7,26,1,76,758,0,en,No,helene,,https://x.com/BeaglesResist/status/1840145326704939438,,,
"Buy a #EV they say. It's better for the environment they say! 

Officials warn that #EVs could catch fire if inundated with saltwater from Hurricane #Helene

The saltwater is able to bridge the gap between the positive and negative terminals of the battery, then it can cause it",buy a ev they say its better for the environment they say officials warn that evs could catch fire if inundated with saltwater from hurricane helene the saltwater is able to bridge the gap between the positive and negative terminals of the battery then it can cause it,0,1840169431189860741,Tweet,Farrell Ross I FOLLOW BACK,haveaconcern,"9/28/2024, 4:19:15 PM",1,3,0,9,371,0,en,No,helene,"#EV, #EVs, #Helene",https://x.com/haveaconcern/status/1840169431189860741,,,
"Praying for those impacted by Hurricane Helene across the Southeast.

We must confront the climate crisis with the fierce urgency of now.

And do everything in our power to save the planet from catastrophe.",praying for those impacted by hurricane helene across the southeast we must confront the climate crisis with the fierce urgency of now and do everything in our power to save the planet from catastrophe,0,1840136776440262782,Tweet,Hakeem Jeffries,RepJeffries,"9/28/2024, 2:09:30 PM",1082,1013,91,4025,110937,22,en,No,helene,,https://x.com/RepJeffries/status/1840136776440262782,,,
What color boots did DeSantis wear for hurricane Helene?,what color boots did desantis wear for hurricane helene,0,1840136427100877181,Tweet,888 Good Troubles,LebergerDavid,"9/28/2024, 2:08:06 PM",18,7,0,43,865,0,en,No,helene,,https://x.com/LebergerDavid/status/1840136427100877181,,,
Have they blamed Trump for Hurricane Helene yet?,have they blamed trump for hurricane helene yet,0,1840164414529343947,Tweet,Spitfire,DogRightGirl,"9/28/2024, 3:59:19 PM",65,42,5,639,8055,1,en,No,helene,,https://x.com/DogRightGirl/status/1840164414529343947,,,
"Envío un mensaje de solidaridad a tod@s los damnificados por las lluvias provocadas en Quintana Roo, por el huracán Helene; y en Guerrero, por el huracán John. El Gobierno de México tiene desplegados el plan DNIII y plan Marina, así como los planes de protección civil. A partir",envío un mensaje de solidaridad a tods los damnificados por las lluvias provocadas en quintana roo por el huracán helene y en guerrero por el huracán john el gobierno de méxico tiene desplegados el plan dniii y plan marina así como los planes de protección civil a partir,0,1839510810596458978,Tweet,Claudia Sheinbaum Pardo,Claudiashein,"9/26/2024, 8:42:08 PM",1974,2349,157,7827,441891,75,es,No,helene,,https://x.com/Claudiashein/status/1839510810596458978,,,
"With the entire city still without power for a second day, the night sky is bursting with stars. I’ve never seen so many here before. You gotta find the beauty where you can. #Helene",with the entire city still without power for a second day the night sky is bursting with stars i’ve never seen so many here before you gotta find the beauty where you can helene,0,1840176660064211360,Tweet,Its whatever,HellaOverIt,"9/28/2024, 4:47:59 PM",0,0,0,5,166,0,en,No,helene,#Helene,https://x.com/HellaOverIt/status/1840176660064211360,,,
"Thru my paternal grandma, I have sweet roots in deep SW VA, #Appalachia . The devastation from #Helene  is heartbreaking. We don't fully grasp have severe it is. SCORES of ppl have lost EVERYTHING &amp; have no means to rebuild. Spt @SamaritansPurse to help these in critical need!",thru my paternal grandma i have sweet roots in deep sw va appalachia the devastation from helene is heartbreaking we dont fully grasp have severe it is scores of ppl have lost everything amp have no means to rebuild spt samaritanspurse to help these in critical need,0,1840125601891434990,Tweet,Kim in VA,VASweetTea,"9/28/2024, 1:25:06 PM",0,1,0,3,208,0,en,No,helene,"#Appalachia, #Helene",https://x.com/VASweetTea/status/1840125601891434990,,,
"If you’ve ever wondered how mainland usa would respond to a ground war invasion, look no further than Floridians during a hurricane",if you’ve ever wondered how mainland usa would respond to a ground war invasion look no further than floridians during a hurricane,0,1839703262116626955,Tweet,@goth,goth600,"9/27/2024, 9:26:52 AM",28,17,1,242,12782,4,en,No,hurricane,,https://x.com/goth600/status/1839703262116626955,,,
